BE,Int
110,391.6667
109.95,358.3333
109.9,379.1667
109.85,300
109.8,383.3333
109.75,329.1667
109.7,383.3333
109.65,395.8333
109.6,345.8333
109.55,341.6667
109.5,358.3333
109.45,350
109.4,341.6667
109.35,341.6667
109.3,304.1667
109.25,437.5
109.2,375
109.15,383.3333
109.1,325
109.05,341.6667
109,408.3333
108.95,416.6667
108.9,341.6667
108.85,487.5
108.8,375
108.75,408.3333
108.7,345.8333
108.65,316.6667
108.6,420.8333
108.55,395.8333
108.5,391.6667
108.45,400
108.4,408.3333
108.35,387.5
108.3,325
108.25,391.6667
108.2,450
108.15,400
108.1,354.1667
108.05,375
108,433.3333
107.95,341.6667
107.9,470.8333
107.85,391.6667
107.8,375
107.75,395.8333
107.7,445.8333
107.65,366.6667
107.6,404.1667
107.55,383.3333
107.5,358.3333
107.45,354.1667
107.4,441.6667
107.35,391.6667
107.3,450
107.25,404.1667
107.2,479.1667
107.15,441.6667
107.1,412.5
107.05,437.5
107,412.5
106.95,533.3334
106.9,420.8333
106.85,516.6667
106.8,479.1667
106.75,450
106.7,445.8333
106.65,508.3333
106.6,425
106.55,470.8333
106.5,500
106.45,487.5
106.4,483.3333
106.35,495.8333
106.3,558.3334
106.25,629.1667
106.2,550
106.15,579.1667
106.1,750
106.05,804.1667
106,800
105.95,737.5
105.9,758.3334
105.85,900
105.8,1075
105.75,1129.1667
105.7,1187.5
105.65,1458.3334
105.6,1533.3334
105.55,1845.8334
105.5,1962.5
105.45,2341.6667
105.4,2362.5
105.35,2458.3335
105.3,2954.1667
105.25,3454.1667
105.2,3854.1667
105.15,4050
105.1,4500
105.05,4841.667
105,5604.167
104.95,5945.8335
104.9,6900
104.85,7383.3335
104.8,7637.5
104.75,8254.167
104.7,9300
104.65,9866.667
104.6,10470.834
104.55,10720.834
104.5,11770.834
104.45,12325
104.4,12908.334
104.35,13662.5
104.3,13670.834
104.25,14491.667
104.2,14900
104.15,15062.5
104.1,15404.167
104.05,15620.834
104,15787.5
103.95,15275
103.9,15720.834
103.85,15291.667
103.8,14462.5
103.75,14612.5
103.7,14100
103.65,13270.834
103.6,12795.834
103.55,12004.167
103.5,11879.167
103.45,10708.334
103.4,10204.167
103.35,9391.667
103.3,8345.834
103.25,7854.167
103.2,6850
103.15,6275
103.1,5587.5
103.05,5179.167
103,4712.5
102.95,4125
102.9,3400
102.85,3454.1667
102.8,2929.1667
102.75,2870.8335
102.7,2354.1667
102.65,2291.6667
102.6,2158.3335
102.55,2045.8334
102.5,1916.6667
102.45,1691.6667
102.4,1558.3334
102.35,1562.5
102.3,1545.8334
102.25,1358.3334
102.2,1379.1667
102.15,1366.6667
102.1,1020.8334
102.05,1087.5
102,962.5
101.95,1137.5
101.9,1045.8334
101.85,875
101.8,937.5
101.75,741.6667
101.7,787.5
101.65,791.6667
101.6,737.5
101.55,608.3334
101.5,625
101.45,683.3334
101.4,595.8334
101.35,600
101.3,583.3334
101.25,629.1667
101.2,487.5
101.15,483.3333
101.1,470.8333
101.05,520.8334
101,537.5
100.95,425
100.9,525
100.85,554.1667
100.8,433.3333
100.75,454.1667
100.7,400
100.65,445.8333
100.6,470.8333
100.55,429.1667
100.5,383.3333
100.45,395.8333
100.4,445.8333
100.35,387.5
100.3,408.3333
100.25,412.5
100.2,425
100.15,429.1667
100.1,420.8333
100.05,412.5
100,379.1667
99.95,433.3333
99.9,412.5
99.85,350
99.8,379.1667
99.75,425
99.7,454.1667
99.65,408.3333
99.6,383.3333
99.55,304.1667
99.5,395.8333
99.45,462.5
99.4,412.5
99.35,408.3333
99.3,408.3333
99.25,408.3333
99.2,433.3333
99.15,370.8333
99.1,466.6667
99.05,412.5
99,337.5
98.95,420.8333
98.9,429.1667
98.85,416.6667
98.8,387.5
98.75,429.1667
98.7,429.1667
98.65,441.6667
98.6,366.6667
98.55,395.8333
98.5,420.8333
98.45,387.5
98.4,416.6667
98.35,408.3333
98.3,370.8333
98.25,487.5
98.2,400
98.15,325
98.1,416.6667
98.05,283.3333
98,379.1667
97.95,379.1667
97.9,341.6667
97.85,395.8333
97.8,350
97.75,275
97.7,404.1667
97.65,316.6667
97.6,262.5
97.55,412.5
97.5,366.6667
97.45,341.6667
97.4,329.1667
97.35,262.5
97.3,358.3333
97.25,370.8333
97.2,387.5
97.15,375
97.1,358.3333
97.05,316.6667
97,358.3333
96.95,404.1667
96.9,337.5
96.85,370.8333
96.8,358.3333
96.75,366.6667
96.7,304.1667
96.65,333.3333
96.6,370.8333
96.55,404.1667
96.5,391.6667
96.45,358.3333
96.4,337.5
96.35,358.3333
96.3,383.3333
96.25,395.8333
96.2,329.1667
96.15,312.5
96.1,379.1667
96.05,279.1667
96,350
95.95,325
95.9,320.8333
95.85,404.1667
95.8,370.8333
95.75,304.1667
95.7,350
95.65,333.3333
95.6,320.8333
95.55,333.3333
95.5,337.5
95.45,345.8333
95.4,329.1667
95.35,320.8333
95.3,304.1667
95.25,362.5
95.2,362.5
95.15,354.1667
95.1,333.3333
95.05,316.6667
95,308.3333
94.95,400
94.9,345.8333
94.85,375
94.8,366.6667
94.75,379.1667
94.7,329.1667
94.65,400
94.6,279.1667
94.55,329.1667
94.5,341.6667
94.45,375
94.4,287.5
94.35,350
94.3,295.8333
94.25,383.3333
94.2,337.5
94.15,354.1667
94.1,275
94.05,337.5
94,416.6667
93.95,337.5
93.9,291.6667
93.85,345.8333
93.8,333.3333
93.75,333.3333
93.7,337.5
93.65,391.6667
93.6,366.6667
93.55,275
93.5,383.3333
93.45,387.5
93.4,283.3333
93.35,345.8333
93.3,383.3333
93.25,379.1667
93.2,387.5
93.15,329.1667
93.1,362.5
93.05,350
93,420.8333
92.95,333.3333
92.9,387.5
92.85,345.8333
92.8,387.5
92.75,366.6667
92.7,341.6667
92.65,358.3333
92.6,350
92.55,366.6667
92.5,350
92.45,325
92.4,420.8333
92.35,337.5
92.3,391.6667
92.25,370.8333
92.2,450
92.15,379.1667
92.1,358.3333
92.05,400
92,329.1667
91.95,341.6667
91.9,379.1667
91.85,354.1667
91.8,400
91.75,395.8333
91.7,333.3333
91.65,404.1667
91.6,320.8333
91.55,325
91.5,408.3333
91.45,412.5
91.4,383.3333
91.35,387.5
91.3,395.8333
91.25,433.3333
91.2,379.1667
91.15,295.8333
91.1,345.8333
91.05,329.1667
91,354.1667
90.95,350
90.9,291.6667
90.85,275
90.8,333.3333
90.75,450
90.7,304.1667
90.65,333.3333
90.6,337.5
90.55,420.8333
90.5,383.3333
90.45,354.1667
90.4,362.5
90.35,416.6667
90.3,320.8333
90.25,387.5
90.2,341.6667
90.15,333.3333
90.1,416.6667
90.05,362.5
90,425
